NetID,Professor Name,Professor Description,Research Interest,Research Area,Research Topic
p-dragic,Peter D Dragic,"Optical fibers are ubiquitous, finding wide-reaching applications that enable the modern world.  Most importantly, their remarkably low loss has facilitated long-distance telecommunications. Indeed, in late 2017, Corning (as but one of a few large fiber manufacturers) celebrated the delivery of its 1 billionth kilometer of optical fiber, nearly the distance from the Earth to Saturn. Every cell phone conversation or text message propagates along a fiber at some point in its journey. Optical fibers are doped with additives making them attractive active gain media for high power lasers, a market (fiber-based lasers, or fiber lasers) expected to surpass $4 billion by 2025. They are used in imaging systems as endoscopes and as laser power delivery conduits for dental and medical procedures. They are used as the active sensors in sensing systems, enabling the remote and distributed measurement of undersea weather, structural health, and temperature, to name just a few.   Fibers performance, however, has reached a sort of plateau, with limitations typically deriving from a bouquet of deleterious nonlinear light-matter interactions between the lightwave and the glass. These usually take the form of a maximum allowable optical power (or rather intensity), either that can be propagated through or produced from an optical fiber. This has inspired a new thrust in specialty fiber design that is largely rooted in conventional wave propagation methodologies. Unfortunately, the vast majority of these waveguide designs offer only incremental improvements to the systems utilizing them since they only enable very slight increases in the maximum allowable power. Consider, for instance, a Poisson-dominated, shot-noise-limited sensing system based on a fiber laser, operating at, or near to, its nonlinearity-restricted upper power limit. Should there be a requirement of a 10 dB enhancement in system signal-to-noise ratio (SNR), this would then require a 20 dB (or 100) increase in laser power/pulse energy to be realized. Such technological leaps are not possible with the current state-of-the art in waveguide design. My research and design methodology of optical fibers relies heavily on a highly interdisciplinary approach that marries waveguide engineering and materials science. We owe many of the amazing capabilities of optical fiber to the pioneering work of materials scientists, whose efforts resulted in the mass-production of the low-loss optical fibers which connect our modern world.  Soon after the development of the first low loss fiber in the 1970s, waveguide designers were inspired to develop a wide range of fiber structures that enhance the capabilities of fiber-based systems. Well-known examples include dispersion shifted and tailored fibers, polarization maintaining fibers, and holey (or micro- and nano-structured) fibers, to name a few.  As such, optical waveguide design (predominantly utilizing silica as the material medium) has traditionally driven most, but not all, advancement in the field of optical fiber technology, with the materials science aspects becoming largely relegated to small niche applications. Today, this practice continues, and hence fiber and fiber laser development now advances only incrementally. It is precisely this apparent technological stagnation that has inspired my team and I to recognize that materials science can help solve many of the challenges and limitations which waveguide design alone could not. Once we recognized that the aforementioned deleterious phenomena in optical fiber systems relate to a controllable material constant or coefficient, many of which can take on zero- or near-zero-values, it became clear that the performance limiters can be removed simply by prohibiting the unwanted interaction from ever taking place.  In short, we have learned how to design these materials systems to achieve optical performance never before seen from optical fibers. This is accomplished through the zeroing or minimization of the material constants that drive the unwanted deleterious processes. Our current research brings materials science back into the mainstream of fiber design by engineering fibers that that have the potential for disruptive influence. Only by coupling materials science and engineering with electromagnetics will optical fiber capabilities sharply improve in the next decade. This will enable the incredible potential of optical fiber based systems, some of which I am actively pursuing: spectroscopic and coherent lidar systems, high power fiber laser technologies, and communications systems.  Our work has also led to designer fibers with unique thermo-mechanical responses that give rise to new distributed sensing architectures. It is important to note that our work also extends other material systems, including crystalline, for next generation applications that rely heavily on these nonlinear processes, such as integrated optical and photonic circuits. The emerging technological renaissance in fibers systems is manifested in my publications and patents.   Three specific examples of current multidisciplinary projects include: 1)	Hypersonic acoustic wave engineering of glass optical fiber 2)	Bridging a gap between next generation laser sources and active sensing systems such as LIDAR 3)	Designing glasses and optical materials for novel optical fiber and waveguide applications including distributed sensing",,"
Coherent optics/imaging
Lasers and optical physics
Modeling and simulation of laser systems
Nano-materials
Nano-photonics
Optical communications
Photonic crystals
Photonic integrated circuits (PICs)
Radar and LIDAR
Radio and optical wave propagation
Remote Sensing
Semiconductor lasers and photonic devices","
Electronics, Plasmonics, and Photonics
Photonics: optical engineering and systems
Sensing systems"
jgeden,J. Gary Eden,"J. Gary Eden received the Ph.D. degree in Electrical Engineering from the University of Illinois, Urbana, in 1976 and was appointed a National Research Council Postdoctoral Research Associate at the U.S. Naval Research Laboratory (Washington, DC). As a research physicist in the Laser Physics Branch (Optical Sciences Division) of NRL from 1976 to 1979, he made several contributions to the area of visible and ultraviolet lasers and laser spectroscopy, including the co-discovery of the KrCl rare gas-halide excimer laser, and received a Research Publication Award (1979) for his work at NRL in which he co-discovered the proton beam pumped laser (Ar-N2, XeF). Since joining the faculty of the University of Illinois in 1979, he has been engaged in research in atomic, molecular and ultrafast laser spectroscopy, the discovery and development of ultraviolet lasers and lamps, and the science and technology of microcavity plasma devices. He has served as Assistant Dean in the College of Engineering, Associate Dean of the Graduate College, and Associate Vice-Chancellor for Research.  Currently, he is the Gilmore Family Professor in the Department of Electrical and Computer Engineering and Director of the Laboratory for Optical Physics and Engineering, as well as Research Professor in the Coordinated Science Laboratory, and the Micro and Nanotechnology Laboratory. He also holds faculty affiliate appointments with the Departments of Bioengineering, Materials Science and Engineering, and Nuclear, Plasma, and Radiological Engineering. Dr. Eden has authored more than 295 refereed, archival publications and 82 awarded patents, is a member of four honorary organizations, and is a Fellow of the IEEE, the Optical Society of America, the American Physical Society, the American Association for the Advancement of Science (AAAS), and the SPIE. He has served as Editor-in-Chief of the IEEE Journal of Quantum Electronics, and Editor-in-Chief of Progress in Quantum Electronics. He is also an Associate Editor of Applied Physics Reviews.  In 1998, he served as President of the IEEE Lasers and Electro-Optics Society (LEOS), following earlier service as a member of the LEOS Board of Governors, and as the Vice-President for Technical Affairs. Dr. Eden received the LEOS Distinguished Service Award, was awarded the IEEE Third Millennium Medal in 2000 and was named a LEOS Distinguished Lecturer for 2003-2005. Between 2015 and 2017, he also served as a Distinguished Lecturer for the American Physical Society Division of Plasma Physics. From 1996 through 1999, he was the James F. Towey University Scholar at the University of Illinois. In 2005, he received the IEEE/LEOS Aron Kressel Award. He was awarded the C.E.K. Mees Medal of the Optical Society of America in 2007, and was the recipient of the Fulbright-Israel Distinguished Chair in the Natural Sciences and Engineering for 2007-2008.  He is a co-founder of Eden Park Illumination (2007) and EP Purification (2010), and was named the recipient of the Harold E. Edgerton Award of SPIE for 2010. He has directed the dissertations of 49 individuals who received the Ph.D. degree in Electrical and Computer Engineering, Physics, or Materials Science and Engineering. His 50th, 51st, and 52nd Ph.D. students will graduate in 2017. In 2014, he was elected into the National Academy of Engineering, and the National Academy of Inventors and recently he received the Distinguished Alumnus Award from the Department of Electrical and Computer Engineering at the University of Maryland. Professor Eden is Director of the Laboratory for Optical Physics and Engineering, a laboratory devoted to the study and applications of the interaction of visible and ultraviolet radiation with matter.The laboratory has discovered more than a dozen lasers or amplifiers in the ultraviolet, visible, and near-infrared, including the first ultraviolet and violet fiber lasers, atomic lasers pumped by the photoexcitation of atomic collision pairs, and the Cd and Zn-halide diatomic systems.With his students, Professor Eden has demonstrated several powerful laser spectroscopic techniques that have resulted in the discovery of (for example) Rydberg series in the rare gas dimer molecules, the first observation of excitation spectra for the photoassociation of thermal atom pairs, and three body photoassociation.In the ultrafast domain (npn plasma bipolar junction transistor.Dr. Eden has authored more than 280 journal publications and 66 awarded patents.His is a co-founder of Eden Park Illumination and EP Purification.","
Laser Magnetometry
Microcavity Plasmas and Optical/Electronic Devices
Ultrafast Science
Optical Physics in the Visible and Ultraviolet
Laser Spectroscopy and Photochemistry","
Lasers and optical physics
Microcavity lasers and nanophotonics
Microelectromechanical systems (MEMS)
Modeling and simulation of laser systems
Plasma devices and plasma science
Ultrafast laser spectroscopy
Ultraviolet photophysics",
afliflet,Arne  Fliflet,"Arne W. Fliflet received the B.Sc. degree from Duke University, Durham, NC, in 1970, and the Ph.D. degree from the University of Virginia, Charlotte, VA, in 1975, both in physics. His dissertation was on the application of many body perturbation theory to atomic photoionization. As a Research Fellow at Caltech from 1975 to 1979, he developed theoretical approaches to low-energy electron-molecule scattering.  In 1979 he joined a small consulting firm, B-K Dynamics, Inc., in Rockville, MD. At B-K Dynamics, he was involved with some of the first gyrotron research conducted in the United States, including the development of theoretical models and computer codes used in gyrotron design. In 1982, he joined the Naval Research Laboratory (NRL) as a Research Physicist in the Plasma Physics Division. At NRL he conducted theoretical and experimental research on gyrotrons, related high power coherent millimeter-wave radiation sources, and gyrotron applications. For many years he served as the head of the Particle and Radiation Beam Generation Section. His areas of research included: gyrotrons for tokamak plasma heating, relativistic gyrotrons, cyclotron auto-resonance masers, quasi-optical gyrotrons, magnicons, near-terahertz, higher-harmonic gyrotrons, microwave processing of materials, and millimeter-wave cloud radars.  In 2014 he joined the Department of Electrical and Computer Engineering at the University of Illinois at Urbana-Champaign where he serves as a Lecturer. He has authored or coauthored over 100 papers and holds seven patents. Dr. Fliflet is a Fellow of the American Physical Society and a Senior Member and Life Member of IEEE. Dr. Fliflet has taught mid-level courses in the ECE Department including ECE 210 Analog Signal Processing, ECE 329 Fields and Waves I, ECE 330 Power Circuits and Electromerchanics, and ECE 445 Senior Design Laboratory. Current research area is terahertz gyrotrons. Currently assisting the US Naval Research Laboratory conduct a 550 GHz, 10 kW, second-harmonic gyrotron experiment. Designed a 60 kV, 4A electron gun for this experiment to be fabricated by Communications and Power Industries, Inc.","
Radar investigation of clouds
Microwave processing of materials
Terahertz gyrotron oscillators and amplifiers
High power vacuum electronics","
Atmospheric and ionospheric measurements
Computational electromagnetics
Lasers and optical physics
Microwave devices and circuits
Modeling and simulation of laser systems
Radar and LIDAR","
Charge particle physics and engineering
RF and microwave engineering"
gaol,Liang Gao,,,,
matthewg,Matthew Gilbert,"My group is concerned with primarily with theoretically elucidating new phenomena in emergent condensed matter systems with the goal of developing new types of nanoelectronic devices and functionality. As a corollary, we also develop new computational techniques to study and classify these new systems. Here I outline the current interests of my research group - Nanoelectronics and Low Dimensional Systems - Strongly Correlated Systems - Topological Phenomena - Quantum Computing","
Topological Insulators and Phenomena
Quantum Computing
Strongly Correlated Systems
Quantum Transport Theory","
Computational nanotechnology
Device modeling
Nano-materials
Nano-photonics
Nanotechnology
Quantum nanostructures for electronics and photonics
Semiconductor electronic devices
Sprintronics","
Beyond CMOS
Charge particle physics and engineering
Electronics, Plasmonics, and Photonics
Micro & nanoelectromechanical M/NEMS integrated systems
Photonics: optical engineering and systems
Quantum optics, cryptography, information, and computing
RF and microwave engineering
Semiconductor devices and manufacturing
Storage and conversion"
lgoddard,Lynford L Goddard,"In fall 2019, I plan to teach, ECE 446, ""Principles of Experimental Research in Electrical Engineering"". In spring 2020, I plan to teach, ECE 536, ""Integrated Optics and Optoelectronics"" and/or ECE 329, ""Fields and Waves I"". My research group, the Photonic Systems Laboratory, studies the ways that light, and lasers in particular, can be used for sensing and measurement, communications, and data processing. The research focuses on fabricating, characterizing, and modeling individual lasers and photodetectors, photonics-based sensors, instrumentation, and integrated circuits, as well as developing new processing, inspection, and characterization techniques, and testing novel semiconductor materials and devices. Applications include hydrogen detection for fuel cells, carbon dioxide detection for reducing post harvest food loss, optical spectrum analysis and quantitative phase microscopy for metrology, integrated microring Bragg reflectors for narrow linewidth lasers and next generation chip-scale communication systems, and optical logic, memory and switches for high speed data processing. 1. The Photonic Systems Laboratory is accepting applications for undergraduate students interested in completing a senior research thesis in AY 2018-2019. The student must have a solid academic record and be self motivated, eager to test out new measurement or simulation techniques, and able to commit the time and effort during the academic year necessary to complete the thesis (usually >10 hours per week). Programming skills in LabVIEW or Matlab, or prior research experience or coursework in Optics would be a definite plus. Interested applicants should email an updated resume to Professor Goddard. 2. The group is also looking for an undergraduate student (at any grade level) who has taken ECE 444 to develop processing recipes for microring fabrication in MNTL. The student would also assist with photolithography, etching, and measuring the optical loss of the resulting devices.","
Optoelectronics
Photonics-based Sensors
Photonics-based Metrology and Instrumentation
Microscopy for Material Science
Computational Electromagnetics for Photonics
Semiconductor Lasers, Modulators, and Detectors
Low Loss Semiconductor/Dielectric Waveguides and Interconnects
Materials Characterization
Nanofabrication and Novel Semiconductor Processing
Photonic Integrated Circuits
All-optical Data Processing Systems
Nano and Micro Opto-Electro-Mechanical Systems (NOEMS/MOEMS)
Semiconductor Band Structure Modeling","
Coherent optics/imaging
Computational electromagnetics
Device modeling
Electromagnetics and Optics
Lasers and optical physics
Microcavity lasers and nanophotonics
Microelectromechanical systems (MEMS)
Microelectronic and photonic device modeling
Microelectronics and Photonics
Modeling and simulation of laser systems
Nano-photonics
Nanotechnology
Optical communications
Photonic integrated circuits (PICs)
Semiconductor electronic devices
Semiconductor lasers and photonic devices
Semiconductor materials
Sensors","
Electronics, Plasmonics, and Photonics
Imaging science and systems
Machine learning
Machine vision
Medical imaging
Photonics: optical engineering and systems
Semiconductor devices and manufacturing"
songbin,Songbin Gong,,,,
gross,George Gross,,"
Large-scale system analysis and computing.
Energy economics; effective bio-fuel applications for electricity
Electricity planning and analysis; power system operations; competitive electricity markets and auction mechanisms; transmission services and pricing; ancillary services; congestion management; reliability and security assessment; integration of renewable, demand response and storage resources into the grid; battery vehicles and the grid issues; battery vehicle management, control, communications and cyber security topics; big data issues in power systems; data center electricity supply reliability economics and environmental issues; demand response resource analysis and evaluation; cyber-security for the power grid; energy policy and economics; energy sustainability; environmental aspects of power system planning and operations; microgrid analysis and implementatiob;and restructuring of the electricity business.","
Algorithms and computational complexity
Dynamics and stability of power systems
Energy system economics and public policy
Power and Energy Systems",
vgruev,Viktor Gruev,,,,
b-hajek,Bruce Hajek,,"
Mathematical biology
Game theory and mechanism design
Optimization
Wireless communication
Stochastic analysis
Communication networks","
Communication networks
Communications
Control
Dynamic games and decision theory
Information theory
Random processes
Stochastic systems and control
Wireless communication systems","
Bioelectronics and Bioinformatics
Data science and analytics
Data/Information Science and Systems
Decision science
Game theory
Genomics
Machine learning
Network science and engineering
Socio-technical systems and networking"
l-haken,Lippold Haken,"In Computer Music, I would like students to get an appreciation for computer music and its technology.  Since musicians and engineers live in quite different worlds, I would like engineering students to learn what it means to do ""serious"" interdisciplinary work with sound designers and musicians. In undergraduate teaching, I feel it is important to nurture ECE student pride in their ability to design and build working devices.  It is important for students to have enough time to implement their own ideas; it is good experience for students to learn how to select chips, how to design PCBs, how to design and debug software and dsp algorithms, how to work with the machine shop, etc.  Both guided learning in structured courses as well as independent project experience are important for our undergraduates. I encourage undergraduates that would like to do research towards designing and implementing devices to look into ECE395.  The primary goal of ECE395 is to build the device; you decide on all hardware components, PCB layout, software programming, motor control or any mechanical aspects you may have, etc.  If you develop novel algorithms or techniques you may optionally present your results at the Undergraduate Research Symposium, and optionally show your work at Engineering Open House.","
Music technology for the blind.
Music notation and representation.
Real-time computer music systems.
Analysis, synthesis, and processing of musical sounds.","
Audio, speech, music and auditory processing",
hanumolu,Pavan Kumar Hanumolu,,,"
Circuits","
Autonomous Systems and Artificial Intelligence
Computational science and engineering
Data/Information Science and Systems
Electronics, Plasmonics, and Photonics
Energy
Micro & nanoelectromechanical M/NEMS integrated systems
Photonics: optical engineering and systems
RF and microwave engineering
Sensing systems
Storage and conversion
Wearable and mobile computing"
kharan,Kiruba Sivasubramaniam Haran,,,,
jhasegaw, Mark Hasegawa-Johnson,"Mark Hasegawa-Johnson has been on the faculty at the University of Illinois since 1999, where he is currently a Professor of Electrical and Computer Engineering. He received his Ph.D. in 1996 at MIT, with a thesis titled ""Formant and Burst Spectral Measures with Quantitative Error Models for Speech Sound Classification,"" after which he was a post-doc at UCLA from 1996-1999. Prof. Hasegawa-Johnson is a Fellow of the Acoustical Society of America, and a Senior Member of IEEE and ACM. He is currently Treasurer of ISCA, and Senior Area Editor of the IEEE Transactions on Audio, Speech and Language. He has published 280 peer-reviewed journal articles and conference papers in the general area of automatic speech analysis, including machine learning models of articulatory and acoustic phonetics, prosody, dysarthria, non-speech acoustic events, audio source separation, and under-resourced languages. Professor Hasegawa-Johnson typically teaches Artificial Intelligence (CS 440/ECE 448), Multimedia Signal Processing (ECE 417), and Speech and Image Analysis (ECE 401). He has also taughtSpeech Processing (ECE 537), Digital Signal Processing (ECE 551), Audio Engineering (ECE 403), Pattern Recognition (ECE 544NA), and Probability (ECE 313). Dr. Hasegawa-Johnson's research is focused on the area of automatic speech recognition, with a particular focus on the mathematization of linguistic concepts. In the past five years, Dr. Hasegawa-Johnson's group has developed mathematical models of concepts from linguistics including a rudimentary model of pre-conscious speech perception (the landmark-based speech recognizer), a model that interprets pronunciation variability by figuring out how the talker planned his or her speech movements (tracking of tract variables from acoustics, and of gestures from tract variables), and a model that uses the stress and rhythm of natural language (prosody) to disambiguate confusable sentences. Recent application successes include: * Speech recognition for talkers with cerebral palsy.  The automatic system, suitably constrained, outperforms a human listener. * Retrieval of broadcast television segments in four languages, based on queries specified in the international phonetic alphabet.  The Illinois team, including students of Prof. Hasegawa-Johnson and Prof. Huang, took third place in this international competition, and was the only finalist from the United States. * Automatic detection and labeling of non-speech audio events.  The Illinois team, including students of Prof. Hasegawa-Johnson and Prof. Huang, took first place in this international competition. * Teaching Chinese.  Software and methods developed by Prof. Hasegawa-Johnson, together with his colleagues from Linguistics and Psychology, are being tested in Mandarin language classrooms at the University of Illinois. Professor Hasegawa-Johnson typically supervises one or two undergraduate research projects per year, thesis research preferred.  Past student theses include automatic recognition of musical genre, factorial HMMs for the automatic recognition of speech in music backgrounds, prosody-dependent speech recognition, image source modeling of room impulse response, sonorancy classification for automatic language ID, phonetic landmark detection for automatic language ID, and digital field recorder for acquisition of a natural audio database.","
Acoustic phonetics, Audio signal processing and speech recognition, Speech and auditory physiology.","
Acoustics
Adaptive signal processing
Biomedical imaging
Computer vision and pattern recognition
Image, video, and multimedia processing and compression
Machine learning
Machine learning and pattern recognition
Natural language processing
Random processes
Robotics and motion planning
Signal detection and estimation
Signal Processing
Speech recognition and processing","
Autonomous Systems and Artificial Intelligence
Data science and analytics
Data/Information Science and Systems"
weihe16,Wei He,,,,
hillmer,Philip Hillmer,,"
Philosophical and Applied Ethics",,
yihchun,Yih-Chun Hu,,,,
w-hwu,Wen-mei Hwu,,"
Architecture, microarchitecture, libraries, and programming tools for parallel cognitive computing systems.","
Algorithms and computational complexity
Biomedical imaging
Cloud computing
Compilers
Computed imaging systems
Computer architecture
Logic design and VLSI
Machine learning
Machine learning and pattern recognition
Natural language processing
Operating systems
Parallel processing
Programming languages","
Autonomous Systems and Artificial Intelligence
Bioelectronics and Bioinformatics
Cognitive computing
Computational science and engineering
Data science and analytics
Data/Information Science and Systems
Distributed computing and storage systems
Imaging science and systems
Machine learning
Machine vision
Medical imaging
Smart infrastructures
Speech, language, and audio processing"
rkiyer,Ravishankar K Iyer,"Ravishankar K. Iyer is George and Ann Fisher Distinguished Professor of Engineering at the University of Illinois at Urbana-Champaign. He holds joint appointments in the Departments of Electrical and Computer Engineering and Computer Science, in the Coordinated Science Laboratory (CSL), the National Center for Supercomputing Applications, the Carle Illinois College of Medicine, and the Carl R. Woese Institute for Genomic Biology. He is also faculty Research Affiliate at the Mayo Clinic, and Yeoh Ghin Seng Distinguished Visiting Professor of the National University Health System, Singapore. Professor Iyer leads the DEPEND Group at CSL, with a multidisciplinary focus on systems and software that combine deep measurement driven analytics and machine learning with applications in two important domains: i) trust (that spans resilience and the security of critical infrastructures) and ii) health (that spans computational genomics and health analytics focused on personalized medicine). The Depend Group has developed a rich AI analytics framework that has been deployed on real-world applications in collaborations with industry, health providers, and government agencies including NSF, NIH, and DoD. Iyer directs the Illinois/Mayo NSF Center for Computational Biotechnology and Genomic Medicine (CCBGM).  Professor Iyer is a Fellow of the American Association for the Advancement of Science (AAAS), the Institute of Electrical and Electronics Engineers (IEEE), and the Association for Computing Machinery (ACM). He has received several awards, including the IEEE Emanuel R. Piore Award, and the 2011 Outstanding Contributions award by the Association of Computing Machinery. Professor Iyer is also the recipient of the degree of Doctor Honoris Causa from Toulouse Sabatier University in France.","
Reliable and secure networks and systems, Measurement and modeling, dependability and security validation and benchmarking, data analytics, computing for genomics research.",,
j-jin1,Jianming Jin,"Jian-Ming Jin received his Ph.D. degree in electrical engineering from the University of Michigan, Ann Arbor, in 1989. He joined the University of Illinois at Urbana-Champaign in 1993 and is currently the Y. T. Lo Endowed Chair Professor of Electrical and Computer Engineering and Director of the Electromagnetics Laboratory and Center for Computational Electromagnetics. He has authored and co-authored over 280 papers in refereed journals and 22 book chapters. He has also authored The Finite Element Method in Electromagnetics (Wiley, 1st edition 1993, 2nd edition 2002, 3rd edition 2014), Electromagnetic Analysis and Design in Magnetic Resonance Imaging (CRC, 1998), Theory and Computation of Electromagnetic Fields (Wiley, 1st edition 2010, 2nd edition 2015), and co-authored Computation of Special Functions (Wiley, 1996), Fast and Efficient Algorithms in Computational Electromagnetics (Artech, 2001), and Finite Element Analysis of Antennas and Arrays (Wiley, 2008). His current research interests include computational electromagnetics, multi-physics modeling, scattering and antenna analysis, electromagnetic compatibility, high-frequency circuit modeling and analysis, bioelectromagnetics, and magnetic resonance imaging. He was elected by ISI as one of the worlds most cited authors in 2002. Dr. Jin is a Fellow of the IEEE (elected 2001), the Electromagnetics Academy, and Applied Computational Electromagnetics Society (ACES), and a member of URSI Commission B. He was a recipient of the 1994 National Science Foundation Young Investigator Award, the 1995 Office of Naval Research Young Investigator Award, the 1999 ACES Valued Service Award, the 2014 ACES Technical Achievement Award, the 2015 IEEE AP-S Chen-To Tai Distinguished Educator Award, the 2016 ACES Computational Electromagnetics Award, and the 2017 IEEE AP-S Harrington-Mittra Computational Electromagnetics Award. He also received the 1997 Xerox Junior Research Award and the 2000 Xerox Senior Research Award presented by the College of Engineering, University of Illinois at Urbana-Champaign, and was appointed as the first Henry Magnuski Outstanding Young Scholar in the Department of Electrical and Computer Engineering in 1998 and later as a Sony Scholar in 2005. He was appointed as a Distinguished Visiting Professor in the Air Force Research Laboratory in 1999 and was awarded Adjunct, Visiting, Guest, or Chair Professorship by 12 institutions around the world. His name appeared 26 times in the University of Illinois at Urbana-Champaigns List of Excellent Instructors. His students have won the best paper awards in IEEE 16th Topical Meeting on Electrical Performance of Electronic Packaging and 25th, 27th, 31st, and 32nd Annual Review of Progress in Applied Computational Electromagnetics. In 2015, he received the IEEE Antennas and Propagation Edward E. Altschuler AP-S Magazine Prize Paper Award, and was appointed as the IEEE Antennas and Propagation Society Distinguished Lecturer.","
Computational electromagnetics, multi-physics modeling, finite element methods, bioelectromagnetics (magnetic resonance imaging and electromagnetic hyperthermia), wave scattering and propagation, electromagnetic interference and compatibility, microwave and millimeter-wave circuits, optoelectronics and photonics, wireless communications, antennas and electromagnetic theory","
Antennas for communication and wireless sensing
Bioelectromagnetics
Biomedical Imaging, Bioengineering, and Acoustics
Electromagnetic compatibility
Electromagnetic theory
Electromagnetics and Optics
Electronic packaging
High-frequency circuits
Microwave devices and circuits
Microwave integrated circuits
Millimeter wave integrated circuits
Modeling and simulation of laser systems
Photonic crystals
Radar scattering
Radio and optical wave propagation
Semiconductor lasers and photonic devices","
Computational science and engineering
Electronics, Plasmonics, and Photonics
Healthcare and medical technologies
RF and microwave engineering"
dl-jones,Douglas L Jones,"Douglas L. Jones received the BSEE, MSEE, and Ph.D. degrees from Rice University in 1983, 1986, and 1987, respectively. During the 1987-1988 academic year, he was at the University of Erlangen-Nuremberg in Germany on a Fulbright postdoctoral fellowship. Since 1988, he has been with the University of Illinois at Urbana-Champaign, where he is currently a Professor in Electrical and Computer Engineering, Neuroscience, the Coordinated Science Laboratory, and the Beckman Institute. He was on sabbatical leave at the University of Washington in Spring 1995 and at the University of California at Berkeley in Spring 2002. In the Spring semester of 1999 he served as the Texas Instruments Visiting Professor at Rice University. He is now serving as the Director of the Advanced Digital Sciences Centre (ADSC) Illinois at Singapore.  He is an author of two DSP laboratory textbooks, and was selected as the 2003 Connexions Author of the Year. He is a Fellow of the IEEE. He served on the Board of Governors of the IEEE Signal Processing Society from 2002-2004. His research interests are in digital signal processing, including nonstationary signal analysis, adaptive processing, multisensor data processing, OFDM, and various applications such as low-power implementations, biology and neuroengineering, and advanced hearing aids and other audio systems. Professor Jones teaches from the freshman to graduate levels in the general area of Electrical and Computer Engineering, with an emphasis on signal processing.  He is particularly interested in laboratory-based instruction, and has developed ECE 420: Digital Signal Processing Laboratory, the laboratory for ECE 210, and the laboratory-intensive ECE 101 general education course. He has also developed and taught a course in signal analysis for neuroscientists participating in an interdisciplinary Neuroengineering program and an interdisciplinary neuroengineering research course. Professor Jones is committed to enhancing engineering education world-wide, and has made his instructional texts for digital signal processing laboratory and advanced signal processing algorithms openly available for use and reuse through the Connexions open-source textbook project; they have been used at a number of universities and translated into several languages.","
Neuro-engineering
VLSI implementation of digital signal processing
Biological applications of signal processing
Multichannel estimation and denoising
Signal Processing for MEMS
Digital signal processing for hearing aids, audio, and acoustic applications
Signal Processing for Communications
Time-varying and Time-frequency Analysis
Digital Signal Processing","
Adaptive signal processing
Audio, speech, music and auditory processing
Biomedical Imaging, Bioengineering, and Acoustics
Circuits
Efficient energy management and conversion for lighting, communications, information technology, transportation, and appliances
Machine learning
Signal Processing
VLSI architectures and integrated circuits for DSP and communications","
Autonomous Systems and Artificial Intelligence
Bioelectronics and Bioinformatics
Healthcare and medical technologies
Human computer interactions
Neuro-engineering
Sensing systems
Speech, language, and audio processing"
farzadk,Farzad Kamalabadi,,"
Remote sensing and imaging
Statistical signal and image processing
Computational imaging
Inverse problems
Sensor array processing
Statistical learning and inference
Space physics","
Atmospheric and ionospheric measurements
Atmospheric and ionospheric theory
Computed imaging systems
Radio and optical wave propagation
Remote Sensing
Signal Processing","
Autonomous Systems and Artificial Intelligence
Bioelectronics and Bioinformatics
Charge particle physics and engineering
Computational science and engineering
Cyberinfrastructures
Data science and analytics
Data/Information Science and Systems
Decision science
Electronics, Plasmonics, and Photonics
Energy
Imaging science and systems
Machine learning
Medical imaging
Neuro-engineering
Photonics: optical engineering and systems
RF and microwave engineering
Sensing systems
Smart infrastructures"
tkilleen,Timothy L Killeen,,,,
kevinkim,Kyekyoon Kim,,"
Syntheses and Study of Tailored Organometallic, Inorganic and Polymeric Precursors for Sol-Gel Processing, Charged Liquid Cluster Beam Deposition and Chemical Vapor Deposition
Investigation of Methods for Controlled Fabrication of Thin Films, Nanofibers, and Nanoparticles Using Charged Liquid Cluster Beams of Precursor Solutions
Investigation of Novel Approaches to Fabricating Micro and Nanoscale Structures for Development of New Devices and Material Systems for Controlled Release, Lighting, Display, Solar Cells, Photosensors, and Power Storage
Development of Methods for Fabricating Uniform Micro and Nano Spheres and Capsules of Biodegradable and Biocompatible Materials for Advanced Drug Delivery and Cell-Based Therapy
Development of High Power Electronic Devices Based on III-V Nitride Semiconductors Using Plasma Assisted Molecular Beam Epitaxy and Selective Area Growth Technology","
Bionanotechnology
Device modeling
Energy storage conversion, management, and control
Gallium nitride power semiconductors
High-performance switching power converters
Microelectronics and Photonics
Nano-materials
Nanotechnology
Power electronics
Semiconductor electronic devices","
Bioelectronics and Bioinformatics
Charge particle physics and engineering
Electronics, Plasmonics, and Photonics
Energy
Healthcare and medical technologies
Nanomedicine and bio-nanotechnology
Semiconductor devices and manufacturing
Solar and renewable technology"
nskim,Nam Sung Kim,,,,
kiyavash,Negar Kiyavash,,"
Statistical Signal Processing with Applications to Network Inference and Security.","
Forensics
Network Security",
erhan,Erhan Kudeki,"Projects in ionospheric radar signal processing for students with ECE 310, 313 and 350 background.","
Incoherent Scatter Radar Theory and Measurements
Ionospheric Propagation and Sounding Techniques
Ionospheric Plasma Instabilities and Equatorial Electrodynamics
Mid-latitude Field Aligned Irregularities and Meteor Trails
Atmospheric Winds Waves and Turbulence
Radar Remote Sensing","
Antennas for communication and wireless sensing
Atmospheric and ionospheric measurements
Atmospheric and ionospheric theory
Atmospheric waves
Coherent optics/imaging
Radar and LIDAR
Radar scattering
Radio and optical wave propagation
Remote Sensing","
Charge particle physics and engineering
Data science and analytics
Decision science
Electronics, Plasmonics, and Photonics
Imaging science and systems
Photonics: optical engineering and systems
RF and microwave engineering"
