CourseNum,CourseName,Credits,Description
CS 579,Computational Complexity,4,"
Turing machines; determinism and non-determinism; time and space hierarchy theorems; speed-up and tape compression; Blum axioms; structure of complexity classes NP, P, NL, L, and PSPACE; complete problems; randomness and complexity classes RP, RL, and BPP; alternation, polynomial-time hierarchy; circuit complexity, parallel complexity, NC, and RNC; relativized computational complexity; time-space trade-offs. Same as ECE 579. Prerequisite: CS 473 or CS 475.
"
CS 581,Algorithmic Genomic Biology,4,"
Same as BIOE 540. See BIOE 540.
"
CS 583,Approximation Algorithms,4,"
Approximation algorithms for NP-hard problems. Basic and advanced techniques in approximation algorithm design: combinatorial algorithms; mathematical programming methods including linear and semi-definite programming, local search methods, and others. Algorithms for graphs and networks, constraint satisfaction, packing and scheduling. Prerequisite: CS 573 or consent of instructor.
"
CS 584,Embedded System Verification,4,"
Same as ECE 584. See ECE 584.
"
CS 585,Hardware Verification,4,"
Same as ECE 519. See ECE 519.
"
CS 586,Combinatorial Optimization,4,"
Same as IE 519. See IE 519.
"
CS 591,Advanced Seminar,0 to 4,"
Seminar on topics of current interest as announced in the Class Schedule. Approved for S/U grading only. May be repeated in the same or separate terms if topics vary. Prerequisite: As specified for each topic offering, see Class Schedule or departmental course description.
"
CS 597,Individual Study,2 to 16,"
Individual study or reading in a subject not covered in normal course offerings. May be repeated. Prerequisite: Consent of instructor.
"
CS 598,Special Topics,2 to 4,"
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. May be repeated in the same or separate terms if topics vary.
"
CS 599,Thesis Research,0 to 16,"
Approved for S/U grading only. May be repeated.
"
